name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
monterrey,2023-04-29,29.5,16.5,22.8,27.8,16.5,22.4,2,29.8,0.145,100,4.17,rain,0,0,53.3,31.7,330.2,1018,19.6,20,283.5,24.7,9,30,2023-04-29T06:06:16,2023-04-29T19:11:21,0.31,Rain,Clear conditions throughout the day with early morning rain.,rain,"MMIO,E0076,F0561,76394099999,MMMY,76394399999"
monterrey,2023-04-30,31.6,12.1,23.4,29.5,12.1,22.8,3.2,29.1,0,0,0,,0,0,37.4,18.5,126.3,1014.9,1.6,20.3,293.4,25.3,9,10,2023-04-30T06:05:30,2023-04-30T19:11:51,0.34,Clear,Clear conditions throughout the day.,clear-day,"MMIO,E0076,F0561,76394099999,MMMY,76394399999,remote"
monterrey,2023-05-01,34.6,16.1,25.8,33.3,16.1,25.2,10.6,41.4,0,0,0,,0,0,40.3,22.6,123.1,1008.9,18.2,18.5,260.2,22.3,8,10,2023-05-01T06:04:44,2023-05-01T19:12:22,0.37,Clear,Clear conditions throughout the day.,clear-day,"MMIO,E0076,F0561,76394099999,76394399999"
monterrey,2023-05-02,29.4,18.5,24.1,29.7,18.5,24.2,16.8,65.9,0,0,0,,0,0,30.2,16.6,102.1,1009.5,59.4,12.7,229.5,20,8,60,2023-05-02T06:03:59,2023-05-02T19:12:53,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,MMMY,76394399999,remote"
monterrey,2023-05-03,29.1,20.5,24.8,30.9,20.5,25.1,20.4,78,0,0,0,,0,0,38.9,20.7,113.3,1012.2,91,8.9,107.5,9.3,4,75,2023-05-03T06:03:16,2023-05-03T19:13:24,0.44,Overcast,Cloudy skies throughout the day.,cloudy,"MMIO,E0076,F0561,76394099999,76394399999,remote"
monterrey,2023-05-04,28.8,21.1,25,32.2,21.1,25.7,21,79.4,2.2,100,20.83,rain,0,0,34.6,23,125,1010.2,86.3,11.2,160.2,13.8,7,75,2023-05-04T06:02:33,2023-05-04T19:13:55,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMIO,E0076,F0561,76394099999,MMMY,76394399999,remote"
monterrey,2023-05-05,33.7,21.1,27.7,35.2,21.1,28.9,20.4,67.6,0,0,0,,0,0,30.2,21.9,138.7,1011.7,56.9,8.8,246.7,21.2,8,75,2023-05-05T06:01:51,2023-05-05T19:14:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,MMAN,76394399999,remote"
monterrey,2023-05-06,34.9,22.1,28.3,37.2,22.1,29.6,20,63.5,0,0,0,,0,0,37.4,22.8,131.2,1011,63.7,7.8,228,19.7,10,60,2023-05-06T06:01:10,2023-05-06T19:14:58,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,F0561,76394099999,MMMY,76394399999,remote"
monterrey,2023-05-07,34.6,23.6,28.1,36.6,23.6,29,19.7,62.4,0,0,0,,0,0,51.8,30.2,117.4,1012.2,74.2,10.8,220.8,19.1,9,75,2023-05-07T06:00:30,2023-05-07T19:15:30,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,76394399999,remote"
monterrey,2023-05-08,31.1,20.9,25.3,32.8,20.9,25.9,19.2,70.6,0.258,100,4.17,rain,0,0,50,23.1,123.5,1011.8,76,11.8,148.7,12.9,7,75,2023-05-08T05:59:52,2023-05-08T19:16:01,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MMIO,76390099999,E0076,76394099999,MMMY,MMAN,76394399999,remote"
monterrey,2023-05-09,29.6,19.1,24.5,31.4,19.1,25,18.8,71.5,0,0,0,,0,0,37.4,21.1,124.6,1011.9,71.6,10.6,240.8,20.9,9,60,2023-05-09T05:59:14,2023-05-09T19:16:33,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,76394399999"
